$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$
4.3728e-18 1.8106 5.1619e-13 5.1619e-13 8.1836e-16 6.344e-19 1.6399e-23 5.3174e-32 1.0882e-33 5.2121e-34 4.3337e-60 8.1915e-51 7.6993e-41 3.7026e-33 5.6252e-32 2.074e-63 1.3779e-48 5.4178e-36 5.6686e-26 6.4914e-20 3.0663e-32 2.498e-22 6.3048e-19 7.3313e-25 1.9381e-21 6.61e-35 8.5243e-51 1.5305e-67 2.0145e-53 9.996e-42 6.0961e-33 4.8829e-38
1.2044e-18 1.8106 5.1619e-13 5.1619e-13 1.5593e-15 1.2088e-18 3.1247e-23 2.7907e-32 5.7112e-34 2.7354e-34 1.5734e-59 2.974e-50 2.7953e-40 1.3443e-32 2.0423e-31 5.7125e-64 3.7952e-49 1.4923e-36 1.5613e-26 1.788e-20 3.0663e-32 2.498e-22 6.3048e-19 1.3969e-24 3.6928e-21 1.2595e-34 1.6242e-50 4.2156e-68 5.5488e-54 2.7533e-42 1.6791e-33 1.3449e-38
3.3175e-19 1.8106 5.1619e-13 5.1619e-13 2.9711e-15 2.3032e-18 5.9538e-23 1.4646e-32 2.9974e-34 1.4356e-34 5.7123e-59 1.0797e-49 1.0148e-39 4.8804e-32 7.4146e-31 1.5734e-64 1.0454e-49 4.1103e-37 4.3006e-27 4.9248e-21 3.0663e-32 2.498e-22 6.3048e-19 2.6617e-24 7.0363e-21 2.3998e-34 3.0948e-50 1.1611e-68 1.5283e-54 7.5836e-43 4.6249e-34 3.7045e-39
9.1376e-20 1.8106 5.1619e-13 5.1619e-13 5.6612e-15 4.3886e-18 1.1344e-22 7.6866e-33 1.5731e-34 7.5345e-35 2.0739e-58 3.92e-49 3.6845e-39 1.7719e-31 2.6919e-30 4.3339e-65 2.8793e-50 1.1321e-37 1.1845e-27 1.3565e-21 3.0663e-32 2.498e-22 6.3048e-19 5.0716e-24 1.3407e-20 4.5726e-34 5.8968e-50 3.1982e-69 4.2097e-55 2.0888e-43 1.2739e-34 1.0204e-39
2.5168e-20 1.8106 5.162e-13 5.1619e-13 1.0787e-14 8.362e-18 2.1615e-22 4.0341e-33 8.256e-35 3.9543e-35 7.5294e-58 1.4232e-48 1.3377e-38 6.4328e-31 9.773e-30 1.1937e-65 7.9308e-51 3.1183e-38 3.2627e-28 3.7363e-22 3.0663e-32 2.498e-22 6.3048e-19 9.6634e-24 2.5546e-20 8.7126e-34 1.1236e-49 8.8092e-70 1.1595e-55 5.7535e-44 3.5088e-35 2.8105e-40
6.9323e-21 1.8106 5.162e-13 5.1618e-13 2.0553e-14 1.5933e-17 4.1186e-22 2.1172e-33 4.333e-35 2.0753e-35 2.7336e-57 5.1669e-48 4.8564e-38 2.3354e-30 3.5481e-29 3.2879e-66 2.1845e-51 8.5892e-39 8.987e-29 1.0292e-22 3.0664e-32 2.498e-22 6.3048e-19 1.8413e-23 4.8675e-20 1.6601e-33 2.1408e-49 2.4264e-70 3.1938e-56 1.5848e-44 9.6649e-36 7.7415e-41
1.9094e-21 1.8106 5.1621e-13 5.1618e-13 3.9163e-14 3.0358e-17 7.8473e-22 1.1112e-33 2.2741e-35 1.0892e-35 9.9245e-57 1.8759e-47 1.7631e-37 8.4786e-30 1.2881e-28 9.0563e-67 6.0169e-52 2.3659e-39 2.4755e-29 2.8349e-23 3.0664e-32 2.498e-22 6.3047e-19 3.5084e-23 9.2744e-20 3.163e-33 4.0789e-49 6.6832e-71 8.7969e-57 4.3651e-45 2.6622e-36 2.1324e-41
5.2593e-22 1.8106 5.1622e-13 5.1616e-13 7.4621e-14 5.7843e-17 1.4952e-21 5.8316e-34 1.1935e-35 5.7168e-36 3.6032e-56 6.8103e-47 6.4007e-37 3.078e-29 4.676e-28 2.4944e-67 1.6573e-52 6.5169e-40 6.8189e-30 7.8092e-24 3.0665e-32 2.498e-22 6.3045e-19 6.6849e-23 1.7671e-19 6.0266e-33 7.7714e-49 1.8408e-71 2.4231e-57 1.2024e-45 7.3333e-37 5.8742e-42
1.4486e-22 1.8106 5.1625e-13 5.1614e-13 1.4218e-13 1.1021e-16 2.8486e-21 3.0605e-34 6.2641e-36 3.0006e-36 1.3082e-55 2.4724e-46 2.3236e-36 1.1173e-28 1.6973e-27 6.8706e-68 4.5652e-53 1.7952e-40 1.8785e-30 2.1514e-24 3.0666e-32 2.498e-22 6.3042e-19 1.2737e-22 3.3669e-19 1.1482e-32 1.4805e-48 5.0703e-72 6.6744e-58 3.3122e-46 2.0202e-37 1.6183e-42
3.99e-23 1.8106 5.163e-13 5.1609e-13 2.7092e-13 2.0997e-16 5.4267e-21 1.6062e-34 3.2879e-36 1.5751e-36 4.7494e-55 8.9754e-46 8.4344e-36 4.0553e-28 6.1598e-27 1.8924e-68 1.2575e-53 4.9456e-41 5.1756e-31 5.928e-25 3.0669e-32 2.498e-22 6.3036e-19 2.427e-22 6.4147e-19 2.1873e-32 2.8202e-48 1.3966e-72 1.8386e-58 9.1248e-47 5.5659e-38 4.4591e-43
