$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$
1.5909e-38 1.8066 2.4839e-18 2.4839e-18 2.6646e-20 0 4.8286e-30 1.4115e-50 1.0309e-52 3.6265e-53 1.2305e-80 3.9813e-69 3.4078e-57 2.3738e-52 7.4083e-53 3.0457e-100 2.1781e-81 3.98e-65 5.3558e-52 1.0086e-42
2.2998e-39 1.8066 2.4839e-18 2.4839e-18 7.0083e-20 0 1.27e-29 5.3667e-51 3.9195e-53 1.3788e-53 8.5125e-80 2.7541e-68 2.3574e-56 1.6422e-51 5.1249e-52 4.4027e-101 3.1486e-82 5.7533e-66 7.7421e-53 1.458e-43
3.3245e-40 1.8066 2.4839e-18 2.4839e-18 1.8433e-19 0 3.3403e-29 2.0405e-51 1.4902e-53 5.2423e-54 5.8887e-79 1.9052e-67 1.6308e-55 1.136e-50 3.5452e-51 6.3644e-102 4.5515e-83 8.3168e-67 1.1192e-53 2.1077e-44
4.8057e-41 1.8066 2.4839e-18 2.4839e-18 4.8482e-19 0 8.7854e-29 7.758e-52 5.6659e-54 1.9932e-54 4.0736e-78 1.318e-66 1.1281e-54 7.8585e-50 2.4525e-50 9.2001e-103 6.5795e-84 1.2022e-67 1.6178e-54 3.0468e-45
6.947e-42 1.8066 2.4839e-18 2.4839e-18 1.2751e-18 0 2.3107e-28 2.9496e-52 2.1542e-54 7.5781e-55 2.818e-77 9.1175e-66 7.8042e-54 5.4363e-49 1.6966e-49 1.3299e-103 9.5111e-85 1.7379e-68 2.3387e-55 4.4043e-46
1.0042e-42 1.8066 2.4839e-18 2.4839e-18 3.3538e-18 0 6.0775e-28 1.1215e-52 8.1903e-55 2.8812e-55 1.9494e-76 6.3072e-65 5.3987e-53 3.7607e-48 1.1736e-48 1.9225e-104 1.3749e-85 2.5123e-69 3.3807e-56 6.3666e-47
1.4517e-43 1.8066 2.4839e-18 2.4839e-18 8.8211e-18 0 1.5985e-27 4.2639e-53 3.114e-55 1.0955e-55 1.3486e-75 4.3632e-64 3.7347e-52 2.6015e-47 8.1189e-48 2.7791e-105 1.9875e-86 3.6316e-70 4.887e-57 9.2034e-48
2.0985e-44 1.8066 2.4839e-18 2.4839e-18 2.3201e-17 0 4.2042e-27 1.6211e-53 1.184e-55 4.165e-56 9.329e-75 3.0183e-63 2.5835e-51 1.7997e-46 5.6164e-47 4.0173e-106 2.873e-87 5.2498e-71 7.0645e-58 1.3304e-48
3.0335e-45 1.8066 2.4839e-18 2.4839e-18 6.1022e-17 0 1.1058e-26 6.1637e-54 4.5015e-56 1.5836e-56 6.4536e-74 2.088e-62 1.7872e-50 1.245e-45 3.8853e-46 5.8073e-107 4.1532e-88 7.5889e-72 1.0212e-58 1.9232e-49
4.3851e-46 1.8066 2.4839e-18 2.4839e-18 1.605e-16 0 2.9084e-26 2.3435e-54 1.7115e-56 6.0208e-57 4.4644e-73 1.4444e-61 1.2364e-49 8.6123e-45 2.6877e-45 8.3948e-108 6.0036e-89 1.097e-72 1.4762e-59 2.7801e-50
